Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"2,771",24.4,23.2,25.6,"2,174",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,01,BO1,CAT1,INTERNET,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,531,10.1,8.9,11.2,"2,169",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,02,BO1,CAT1,INTERNET,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"2,879",17.1,16.1,18.1,"2,180",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,04,BO1,CAT1,INTERNET,RESP054,"(34.865970280000454, -111.76381127699972)"
2014,AR,Arkansas,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,711",22.7,21.1,24.3,"2,173",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,05,BO1,CAT1,INTERNET,RESP054,"(34.74865012400045, -92.27449074299966)"
2014,CA,California,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,536",19.4,18.3,20.5,"2,180",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,06,BO1,CAT1,INTERNET,RESP054,"(37.63864012300047, -120.99999953799971)"
2014,CO,Colorado,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"2,146",13.2,12.4,13.9,"2,177",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,08,BO1,CAT1,INTERNET,RESP054,"(38.843840757000464, -106.13361092099967)"
2014,CT,Connecticut,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,403",16.3,15.1,17.4,"2,167",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,09,BO1,CAT1,INTERNET,RESP054,"(41.56266102000046, -72.64984095199964)"
2014,DE,Delaware,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,002",18.5,17,20,"2,170",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,10,BO1,CAT1,INTERNET,RESP054,"(39.008830667000495, -75.57774116799965)"
2014,DC,District of Columbia,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,831,15.4,13.7,17.1,"2,160",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,11,BO1,CAT1,INTERNET,RESP054,"(38.89037138500049, -77.03196112699965)"
2014,FL,Florida,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,930",18.1,17,19.2,"2,179",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,12,BO1,CAT1,INTERNET,RESP054,"(28.932040377000476, -81.92896053899966)"
2014,GA,Georgia,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,516",19.5,18.1,20.8,"2,174",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,13,BO1,CAT1,INTERNET,RESP054,"(32.83968109300048, -83.62758034599966)"
2014,HI,Hawaii,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,478",19.6,18.3,20.9,"2,178",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,15,BO1,CAT1,INTERNET,RESP054,"(21.304850435000446, -157.85774940299973)"
