state,poverty,internet30
Alabama,19.3,24.4
Alaska,11.2,10.1
Arizona,18.2,17.1
Arkansas,18.9,22.7
California,16.4,19.4
Colorado,12,13.2
Connecticut,10.8,16.3
Delaware,12.5,18.5
District of Columbia,17.7,15.4
Florida,16.5,18.1
Georgia,18.3,19.5
Hawaii,11.4,19.6
Idaho,14.8,13.9
Illinois,14.4,18.2
Indiana,15.2,19.3
Iowa,12.2,16.8
Kansas,13.6,16.1
Kentucky,19.1,21.3
Louisiana,19.8,23
Maine,14.1,15.2
Maryland,10.1,15.6
Massachusetts,11.6,14.7
Michigan,16.2,17
Minnesota,11.5,13.2
Mississippi,21.5,29.6
Missouri,15.5,18.5
Montana,15.4,17
Nebraska,12.4,16.4
Nevada,15.2,18
New Hampshire,9.2,10.9
New Jersey,11.1,17.1
New Mexico,21.3,23.6
New York,15.9,20
North Carolina,17.2,21.5
North Dakota,11.5,17.4
Ohio,15.8,17.4
Oklahoma,16.6,20.4
Oregon,16.6,12.8
Pennsylvania,13.6,19.4
Rhode Island,14.3,16.9
South Carolina,18,22.7
South Dakota,14.2,18.5
Tennessee,18.3,21.9
Texas,17.2,21
Utah,11.7,10.6
Vermont,12.2,14
Virginia,11.8,16
Washington,13.2,12.6
West Virginia,18.3,26.8
Wisconsin,13.2,16.5
Wyoming,11.2,15.7
Puerto Rico,46.2,43.8
